review,sentiment
"Not that the movie was bad, it just had every opportunity to become something insane like the trailer promised us. And it just wasn't.",neutral
This movie could have been better.,neutral
"Trailer was a 5/5, Movie barely a 3.5/5",neutral
"I'm so conflicted, getting real hyped just hearing Patrick Stewart again but I really don't want mutants to just exist because Multiverse Magic. I can feel the Sam Raimi coming off in this trailer and I love it",neutral
"The movie was okay, the trailer had me fooled, the music is awesome, can't wait for the next Doctor Strange movie to come out!",neutral
Sure the movie was OKAY,neutral
Average movie,neutral
"It wasn't that bad 5,8/10 ",neutral
"5,8/10 is neither good nor bad. The movie is neither good nor bad but it's a bad score for a movie, especially this one",neutral
Movie wasnt bad either but i expected a lot ibmean a lot,neutral
Personally I thought the movie slapped. I think the biggest problem was the fans hyping it up to be some kind of ensemble of cameos and expecting to be bigger than what it was when they never really advertised it as such. I mean they were never gonna do a whole Avengers-Level Multiverse threat in this movie. Alls the film did was lay groundwork for what will become Doomsday/Secret Wars.,neutral
"According to me the movie was over hyped, it didn't deserve that title. the movie wasn't like bad",neutral
"This is a fun popcorn movie. Other than that, it is egregiously mid.",neutral
"This movie is pretty mid, but whoever cut this trailer did an exceptional job.",neutral
"After seeing the movie, it just felt weird and I expected so much better. It wasn’t bad, I midly enjoyed it but probably one of my least favorite marvel movies.",neutral
"cgi is not bad, story does not make sense, still a fun film with good actors. 6/10 not a bad film",neutral
"It wasn't a bad movie per se, but everyone thought it's a continuation of his actions from No Way Home.",neutral
Not bad....MCU are still not done yet.,neutral
mid tier movie though,neutral
Mid movie,neutral
Anything is possible at this point. Multiverse and time travel? Looking forward to what's to come!,neutral
"Whoever made the Dr Strange casting, deserves an Oscar just for that",positive
"This is probably the Marvel movie I’m most hyped for in Phase 4 and this teaser did not disappoint. Bring on Sinister Strange, villain Scarlet Witch, Shuma-Gorath/Gargantos, and *potentially* X-Men, Fantastic Four and Deadpool! Bring on the Madness! 🔥🔥",positive
Dr. Strange is the coolest Marvel hero ever. Benedict fits perfectly this smart and sensible character!,positive
"This trailer is a masterpiece, a surprise too huge and magnificent. Dr Strange has always got that captivating aura 🔥",positive
Love when writers imagination goes wild in a good fantasy way not degrading the depth of these characters.,positive
