review,sentiment
Garbage,negative
this movie was such a huge box office flop.,negative
Worst performing MCU movie ever made.,negative
Boring wahmen power movie.,negative
Really boring movie that's why it bombed.,negative
"How did they put so much money into this movie and make it look so bad. The costumes don't fit well, the CGI looks bad, the villain looks hilariously unthreatening. Whoever decided to push it in this state was smoking crack",negative
I loved this movie,positive
The Marvels ranks as the worst movie in the history of the Marvel Cinematic Universe,negative
"This is the only MCU movie to flop, btw. Iman did look like she was having the time of her life in this movie.",negative
Cringe.,negative
the movie nobody wanted,negative
Just came to put a dislike,negative
I can see why this did so bad...looks awful!,negative
"this movie is so bad, it's no surprise everyone hates it",negative
Most boring Marvel movie I ever watched.,negative
Worse movie ever . Reminded me like a cosmic wizard of oz. Was this suppose to be a marvel movie or a sing along,negative
What's worse than one horrible superhero movie character? Three horrible superhero movie characters crammed in the same movie.,negative
Never disliked a movie this much,negative
Never liked a movie this much,positive
Why are these marvel movies getting so kiddish i feel like I’m watching a disney channel show,negative
Even the characters in the trailer are confused 😅,negative
The greatest super power of all time. Seeing light.,positive
"Someone should make a mashup video of every villain saying ""you took everything from me""",neutral
Why are these marvel movies getting so kiddish i feel like I’m watching a disney channel show,negative
"""I can see light"" finally a super power we can all relate too. Brave and stunning.",neutral
The greatest super power of all time. Seeing light.,neutral
Iman is clearly just having the best time of her life right now and seeing her having fun throughout the movie is the biggest thing about it I’m looking forward to,positive
A tree has more facial expression than Brie Larson.,negative
I'm excited to see more of Carol's personality in this movie. She was a blank slate for most of the first movie and we have only see bits and pieces of it in Endgame,positive
The Marvels - DISASTROUS box office,negative
Wait a minute...I can see light too! 😅,neutral
"I hope they do it justice in this second movie, it looks more developed than the first one, I can't wait anymore!!",positive
This trailer looks absolutely way better than the first one the action and some interesting stuff. Can't wait to see it,positive
This feels much more cinematic than the first trailer. So hyped!,positive
"Either the directors and the writers are the stupidest or they think of us, the audience stupider. Watching this movie was literally torture.",negative
Interesting how many fake spam accounts are here saying the same things.,neutral
They really are deleting comments 😂,neutral
This is the most obviously bot filled comment section I’ve ever seen 😂,neutral
"This is hype!
The 3 of them will absolutely be the best team in the MCU. Kicking butts left and right. 👊",positive
"This movie sucked, they’re just trying to be funny in every scene",negative
They worked hard on that cat/monster scene. You can tell.,neutral
2 years I still haven’t seen this film but it seems like every day one of the Spider-Man films is on.,neutral
Only watching for park seo joon,neutral
Movie was stupid and ludicrous 😂😂😂😂.,negative
Wow this movie sucks,negative
"this movie is totally ridiculous, stupid and makes zero sense",negative
the suspicious bot activity is causing demonization,neutral
"I didn’t even know this was a movie until today, and I follow the marvel universe very closely 😭",neutral
I would love to see this movie made into a musical. You go girls. 👁️👄👁️,neutral
Some folks need a perpetual enemy so they can justify their own inadequacies to themselves. It’s kind of insane,neutral
They are trying to increase the views of the videos with money,neutral
They are ruining marvel with childishness!!!! Why every movie has to be soooo childish😢. It’s become disney universe,negative
"I couldn't make it halfway through the trailer!!
What a disgusting crap, you guys have done!
Can't believe this is the Marvel that gave us Infinity War, Endgame!",negative
Definitely one of the worst trailers and worst movies.,negative
I’m here for park seo joon 😪and they didn’t even show him like that in this trailer,neutral
"I cant even feel the emotions from this film, As a marvel fan, i am totally  disappointed 😥.",negative
"i like the origional captain marvel from DC comics, the one they call shazam half the time hes called captain marvel bring him back ;)",neutral
It took me one year to find out this movie existed.,neutral
Congrats on worst movie ever 😭 like what they was thinking,negative
tried my best to like it but i failed after 20-30 mins. Then i cancelled my Disney+ subscription.,negative
"Easily worst one they’ve done thus far.
This movie was painful to watch from beginning to end",negative
Dumbest movie ever,negative
Literally the worst movie I've watched in so long It's mindblowing,negative
Just such terrible story telling!,negative
"Man, these comments are so filtered. Only positive comments, how strange...",neutral
"This might be the shittiest marvel movies. Who wrote the plot must be fired. I get it you need to introduce new actors and characters, but man there  is no negative word to describe it, even the trash looks better than this.",negative
"As always, it was a very creative and beautiful trailer. We are waiting for the continuation of your Marvel movies.",positive
Is this disney movie,neutral
"Marvel needs to choose good actors....
The actings are so childish.. Felt so cringe throughout the movie.",negative
"It's one of the worst movies I have seen in the past decades, if not the worst. I hate stopping movies in the middle, but I have to stop every five minutes and walk away for days so I can forget the details and continue. It has been months since I started, but I am only halfway through the movie. The movie lacks in story, decent actions (they tried but failed miserably), humor, logic, consistency in power scale, casting, directing, etc. I had much better viewing experiences at independent movie showings by high school students, who probably had less than x1/100,000 budget. I would not even recommend the movie to my worst enemies.",negative
"The marvels movie is so bad. The characters are not like in the avengers. The movie is full of narcissist,feminist,childish and I think Stan Lee wouldn't like it if he is alive.",negative
This is absolutely the worst thing I've ever seen. This movie is a joke and the villan is terrible. Actually they all suck,negative
there is not even one single white male main character. At least there is Nick Fury but he is not white,neutral
Where is the Indian superhero marvel ??,neutral
"predictable, boring, heroes never die, heroes always win. garbage.",negative
"Terrible film,  first 10min and I stopped watching",negative
Marvel has found a winning formula.  Lots of fun cameos.,neutral
This movie is actually pretty good.,positive
"When I first saw the trailer , seeing Jane got me worried, I thought her arc will ruin the movie yet I stayed hopeful that it maybe as good as thor:ragnarok or even more , I thought thor will try to truly find himself , I thought thor will travel the world with guardians and then gorr would be shown and Christian bale would be given justice , he played so nicely and jane would just have a small cameo where she got the hammer or would be like valkyrie in ragnarok and thor realizes that he doesn't need the hammer to control his power , but they completely ruined it 🤦 the potential this movie had was destroyed",negative
"the worst film of the MCU. an absolute waste of time, energy and money. if the director doesn't care, why should we",negative
"It’s such a shame MCU completely screw up this epic storyline so badly. Also, MCU continues to treat Asgardians like they are just weak and normal people like human when although they are far less powerful than Thor and Odin, they still are much much stronger and much more durable than most species in the universe because of their much denser physiology. Even a regular Asgardian can lift tons and endure powerful energy blasts. They also heal faster . They should not be just a village of helpless folks as depicted in the movie..",negative
Too bad this movie sucked.,negative
no this movie has no right to live in this universe,negative
The first trailer had me hyped. This trailer has me ULTRA HYPED.,positive
This movie had Christian Bale and Russel Crowe and ended up being trash……wow,negative
This movie is neither good nor bad-it’s in between. It’s overly hated. People nowadays keep hating everything-either because they compare MCU with comics and get disappointed when their favourite villains get nerfed or just because the hate is “Trendy”.,neutral
Trash movie ever,negative
This movie was terrible and ruined by the director,negative
"Chris Hemsworth, Christian Bale and Valkyrie chick were the only shining stars in the movie. By far one of the worst movies I have ever watched. Such waste of good talented actors. Did not like Jane foster turning into Thor. Terrible storyline. The acting was similar to Tv drama standard like ‘Once upon a time’. From back in 2011. 🫢",negative
"If you took out those idiotic screaming goats, this movie would become 30% more watchable.",negative
"Such a disgusting movie, shame they kill gorr",negative
"the worst film of the MCU. an absolute waste of time, energy and money. if the director doesn't care, why should we",negative
"Watching this trailer makes me remember just how excited I was for this movies to just be underwhelmed and sad about what they did to Thor’s character, like I get him being more “human” and funny but it went just too far. Ragnarok and infinity war was the perfect mix of funny and serious thor",negative
"It’s such a shame MCU completely screw up this epic storyline so badly. Also, MCU continues to treat Asgardians like they are just weak and normal people like human when although they are far less powerful than Thor and Odin, they still are much much stronger and much more durable than most species in the universe because of their much denser physiology. Even a regular Asgardian can lift tons and endure powerful energy blasts. They also heal faster . They should not be just a village of helpless folks as depicted in the movie..",negative
"Trash movie!
Wasted Christian Bale - Gorr cast.
Trash, Trash, Trash!""",negative
Well marvel lost its grip after Stan lee died now some idoit is in charge of the show so some day they will see that he is a mistake and will fire him,negative
"Genuinely one of the worst movies, if not, the worst in THE MCU",negative
"Why did they make Thor so stupid in this one, did i miss something?",negative
most garbage movie ive ever watched in the mcu,negative
