review,sentiment
"My fiancé passed away March 14, 2022 in a car accident, and Guardians is one of our favorites to watch, and wanted the soundtracks to play at our wedding. Having Spacehog in this trailer made me bawl my eyes out, as it was one of our favorite songs to play while we were cooking or dancing in the living room on our days off together. I like to think it's him saying ""hey, I'm still here."" I cannot wait to see this and feel all of the emotions.",neutral
"This movie fits, and set's us up for the blade",neutral
"Even if the movie itself was far from the best Marvel movie, this was one of the best Marvel trailers imo. Even after watching the movie, I still get chills from this trailer.",neutral
Holy trailer and holy let-down of a movie,neutral
"i hope this movie won’t lose the heart that the other two had, it looks promising!",neutral
"Although it was not the best and it is not up to par with the previous ones, Quantumania was not that bad in my opinion",neutral
Not sure I really liked the film,neutral
I just watched the movie. I have never seen due to hearing it wasn’t good. Honestly it wasn’t even bad.,neutral
"a movie it was ok, justo ok in my opinion... not bad by any means.",neutral
I only came back to write that I expected better from this movie.,neutral
It wasn't that bad but it was bad compared to Guardians of the Galaxy 3. ,neutral
It is not what i was expecting. 5 of 10.,neutral
the movie was alright,neutral
Hit take but I thought this movie was fine not great but ok for what it was,neutral
I watched the movie was ok.,neutral
Im still 50/50,neutral
"It’s certainly not perfect, but to me, it’s FAR from being bad",neutral
the new phase isn't tht good enough to watch again,neutral
everything looks fine to me,neutral
The movie was mid like the movie felt more like a star wars movie than an ant man movie while it was still good i simply think this is my least favorite ant man film,neutral
"I didn't hate it and I actually found it to be quite entertaining. Unfortunately, I get the feeling that many many many others will not be capable of liking it. It was really stupid, but it was really smart. The plot was odd, but it made sense if you understand something about string theory. It was a big huge stinking pile of tons of brand new characters and brand new species and brand new ideas all shoved as tightly together as possible into one big pile of science fiction on steroids. And then, of course, the left added their propaganda to it, but that part wasn't too terrible. I would even go so far as to say that the movie is not woke in any perceptible way. Lastly, some profanity, some of which cannot be simply edited out later on because of how it often happens at key points within the storyline. As a long time comic book nerd, I'm ok with lots of sciency stuff mixed together with lots of science fictiony stuff. I'm ok with it. I think a lot of others might not be though. A lot of others might deeply hate it. It was an interesting movie...but you had to be the sort of person who can tolerate a lot. This is not the way that Marvel will regain its audience. And, because of the profanity, I have no plans to buy the BluRay or DVD when it comes out. It was as bad as a movie can be, and still be considered good by nerds like me. I'll give it 6 out of ten stars. Plan on a whole bunch of other people giving it far fewer though.",neutral
the movie was avarage and the daughter is so annoying. we need more deaths and less idiotic characters.,neutral
movies are not that bad …..but no excitement coz of trailer spoilers,neutral
The movie is both awesome and awful at the same time(in my opinion).,neutral
"The movie was OK. Not the best, but still enjoyable",neutral
This was a fun watch but extremely CORNY!,neutral
The movie is awful and awesome at the same time,neutral
the movie is a 6/10,neutral
This movie was at best a 6/10,neutral
"Wasn't as bad as ppl said tbh, my boy Jonathan carried!",neutral
The movie was in average,neutral
Looks okay.,neutral
"Not bad, not great.",neutral
"Could be interesting, but I’ll wait for reviews.",neutral
"Kang looks cool, story still unclear.",neutral
Feels like a standard Marvel trailer.,neutral
"Not super excited, but I’ll probably watch it.",neutral
"CGI looks fine, nothing amazing.",neutral
Hard to tell if it’ll be good or not,neutral
This could go either way.,neutral
"Seems decent, but Phase 4 has me cautious.",neutral
I’m neutral on this so far.,neutral
"Doesn’t look terrible, doesn’t blow me away.",neutral
"Might be fun, might be forgettable.”",neutral
Trailer didn’t convince me yet.,neutral
I’ll judge it when it comes out.,neutral
"For me it is not too bad, I can enjoy it but I think it is in mid",neutral
a lot of negative comments but I think it is in average,neutral
how can people overate this trailer? This movie is not good but its also not bad,neutral
"Mid movie, okay story I guess",neutral
Typical movie disobedient child that mouth off to her dad and gets in trouble blah blah overall it was ok,neutral
At least we get a glimpse of what this movie was supposed to be.,neutral
I’m sorry but whoever made the trailer song is a genius. Combining yellow brick road by Elton John with the Loki theme was brilliant composing. Hats off to them,positive
Whoever came up with the song and the trailer deserve a big raise.,positive
This has the potential to be the best of the Ant-Man movies.,positive
"Even if the movie itself was far from the best Marvel movie, this was one of the best Marvel trailers imo. Even after watching the movie, I still get chills from this trailer.",positive
"Jonathan Majors is such a great actor, I'm so glad he's getting his role fully enveloped within the MCU.",positive
"I love how Kang sounds so calm, yet at the same time so terrifying...😮",positive
I love how Scott says that the people who adores him often calls him as Spider-Man by mistake while the “Next Big Bad” that is Kang knows that he’s the one and only Ant-Man,positive
I see this trailer almost everyday because I work at a movie theater and it never fails to amaze me,positive
Can we take a moment to appreciate the VFX artists ? The visuals are stunning !,positive
The buildup to more comic book accurate suits is phenomenal. Can't wait.,positive
I'm obsessed with Jonathan Majors as Kang. The guy is phenomenal and clearly puts everything he has into his roles. Very excited to see what he brings to the role over the next several years.,positive
I can already tell that Majors is gonna absolutely kill it as Kang. This is gonna be amazing!!!!,positive
It’s wild how even in just this short clip you can tell that this version of Kang has an entirely different aura about him than the He Who Remains version in Loki. Really looking forward to Jonathan’s performances with the character!,positive
"I love the part where Kang goes: ""It's you! Ant-man & the Wasp: Quantumania!""",positive
Kang's lines in this trailer are giving me chills Jonathan Majors is going to give one hell of a performance here. I'm so excited!,positive
The trailer and the song go together perfectly,positive
"Round of applause for the composer who blended Elton John's ""Goodbye Yellow Brick Road"" into the ""Loki"" theme and then back out into Yellow Brick Road. Beautifully done.",positive
"I love how vastly different He Who Remains and Kang the Conqueror are. Just from their speaking tones you can tell how different they are. HWR is more joyous and playful, especially when he still held the cards. Kang is more proud in his speaking, it has a sort of power, like he knows he more powerful than whoever he talks to, and his speaking is so cold too. Jonathan Majors is an amazing actor",positive
The quantum realm looks so beautiful,positive
"This looks awesome. Everything about it seems so disconnected from everything we’ve already seen in the mcu almost like a guardians vibe, it almost feels like a standalone scifi movie.",positive
Casting Jonathan Majors as Kang was such a great idea. He's a truly talented upcoming actor. He's just got that swag someone would need to be the next Thanos level villain.,positive
"Really excited to see Jonathan Majors play Kang. He did extremely well as he who remains, and I can already tell he's gonna deliver with this one too!",positive
Love that they turned this into a family adventure.,positive
I think this movie has a bright future,positive
"I think, Antman has one of the best and most consistent story arcs in the MCU. I love it.",positive
The amount of goosebumps this gave me is surreal. Mavel's ability to make killer trails is amazing. Can't wait for this to come out!!,positive
So excited for this movie!,positive
"Love the part where Scott walks out of a broom closest and proudly announces ""pizza time"" to a receptionist.",positive
this movie has a ton of potential and this trailer looks insane im so hyped,positive
The cinematography and the visuals in this film are insane. Hats off to Marvel!,positive
"I love it when Scott says, “Cassie!” Then it rises to a soft synth of the Elton John chords. Truly good trailer. Don’t know bout the movie itself though.",positive
"Jonathan Majors is a fantastic actor. He's very talented and has incredible screen presence. There's a special aura to him every time he appears in something. He looks great as Kang The Conqueror, a villain who I've been waiting to see adapted for a long time. I'm very happy for the success he's having.",positive
"Even thought the movie was....... controversial, the trailers were phenomenal",positive
"What I love about Kang is , that he has no powers , is no strong alien or something else . He is just smart and one of the biggest threats in the Marvel Universe . I just love that",positive
"It may be just me, but I love how they were to pull it off and give Kang his iconic face even though it may be a mask he wears while traveling",positive
